District,Year,Yield,Rainfall,Temperature,Humidity,Sunlight,Soil_Moisture,Soil_Type,Pest_Risk,PFJ_Policy,Yield_Lag1,Growing_Degree_Days,Water_Availability,Climate_Stress,Moisture_Temp_Ratio,Rainfall_per_Sun,Years_Since_PFJ,Yield_Change,Yield_Growth_Rate
Akatsi,2011,2.0,672.01,26.11581699346405,85.78143790849673,16.889477124183006,0.7284313725490196,Tropical Black Earth,0,0,1.47,441.0824936904609,489.5131666666666,0.3009378229132461,0.026863707360342468,37.56454117328988,0,0.53,0.36029911624745076
Akuapim North,2011,2.35,708.03,25.467712418300653,87.49058823529411,15.939738562091504,0.7501960784313726,Forest Ochrosol,0,0,2.35,405.9486777222436,531.1613294117648,0.2878013687804028,0.02834382006934087,41.79698508361049,0,0.0,0.0
Akuapim South,2011,2.2,708.03,25.467712418300653,87.49058823529411,15.939738562091504,0.7501960784313726,Forest Ochrosol,0,0,2.2,405.9486777222436,531.1613294117648,0.2878013687804028,0.02834382006934087,41.79698508361049,0,0.0,0.0
Amansie Central,2011,1.1,900.22,25.087124183006537,88.91888888888889,15.960392156862746,0.7572549019607843,Forest Ochrosol,0,0,1.5,400.40034004869926,681.6960078431372,0.2789972662363103,0.02902791801229164,53.077782145251916,0,-0.3999999999999999,-0.26648900732844766
Amansie West,2011,1.0,865.5,24.99751633986928,87.96973856209151,15.960392156862746,0.7419607843137255,Forest Ochrosol,0,0,1.5,398.97016373189797,642.1670588235294,0.2809665032613718,0.028539679506840776,51.03065966843164,0,-0.5,-0.33311125916055967
Amenfi East,2011,1.38,900.22,25.087124183006537,88.91888888888889,15.340065359477126,0.7572549019607843,Forest Ochrosol,0,0,1.4,384.8381246486395,681.6960078431372,0.2789972662363103,0.02902791801229164,55.092802886365355,0,-0.020000000000000018,-0.014275517487508937
Amenfi West,2011,1.4,854.79,24.99281045751634,89.2124183006536,15.340065359477126,0.7475816993464052,Forest Ochrosol,0,0,1.41,383.3913459353241,639.0253607843136,0.2770440137656222,0.028761095325504787,52.31252024975699,0,-0.010000000000000009,-0.007087172218284912
Aowin Suaman,2011,1.46,758.6,25.07967320261438,88.91091503267974,15.340065359477126,0.7060130718954248,Forest Ochrosol,0,0,1.58,384.7238261224316,535.5815163398693,0.2789391387408161,0.02707139259032778,46.425762890845306,0,-0.1200000000000001,-0.07590132827324485
Asante Akim North,2011,1.2,767.9399999999999,25.967581699346404,84.01248366013071,16.411045751633985,0.6500653594771242,Forest Ochrosol,0,0,1.7,426.1551713272672,499.2111921568627,0.3054560998730675,0.024105437659353763,44.10648337581507,0,-0.5,-0.29394473838918284
Asante Akim South,2011,1.0,860.62,24.983202614379085,87.81954248366013,15.960392156862746,0.7389542483660131,Forest Ochrosol,0,0,1.5,398.7417110598488,635.9588052287581,0.281280469542783,0.02843969080074357,50.74293047238086,0,-0.5,-0.33311125916055967
Asikuma Odoben Brakwa,2011,2.05,792.21,25.15424836601307,89.30666666666667,15.939738562091504,0.7540522875816994,Forest Ochrosol,0,0,2.0,400.95214268016576,597.3677627450982,0.2785425405951543,0.02883096761295482,46.76636520075006,0,0.04999999999999982,0.024987506246876474
Assin North,2011,1.45,857.78,24.97562091503268,89.04960784313725,15.470980392156862,0.769281045751634,Forest Ochrosol,0,0,1.42,386.3973414584134,659.8738954248366,0.2773540220023966,0.029615501714780328,52.07826004142759,0,0.030000000000000027,0.02111189303307532
Assin South,2011,2.5,792.21,25.15424836601307,89.30666666666667,15.470980392156862,0.7540522875816994,Forest Ochrosol,0,0,2.42,389.16088325003204,597.3677627450982,0.2785425405951543,0.02883096761295482,48.097319111449735,0,0.08000000000000007,0.03304419661296988
Asunafo North,2011,1.74,767.58,25.15934640522876,86.58895424836602,15.748039215686273,0.6429411764705882,Forest Ochrosol,0,0,1.8,396.21037383057796,493.50878823529416,0.28724337013874224,0.024577876163682608,45.83103670315519,0,-0.06000000000000005,-0.03331482509716827
Asunafo South,2011,1.62,828.63,24.988954248366014,88.27398692810458,15.748039215686273,0.7318954248366013,Forest Ochrosol,0,0,1.96,393.5270314622581,606.4705058823529,0.27991305315500786,0.028161788190558583,49.4762395363812,0,-0.33999999999999986,-0.17338092809790917
Asuogyaman,2011,1.8,786.95,25.781111111111112,85.02647058823528,16.889477124183006,0.7077777777777778,Forest Ochrosol,0,0,1.8,435.42948634713144,556.9857222222223,0.29968811849218024,0.026428245446624903,43.989547292927895,0,0.0,0.0
Asutifi,2011,1.82,767.58,25.15934640522876,86.58895424836602,16.12470588235294,0.6429411764705882,Forest Ochrosol,0,0,1.73,405.6870609765475,493.50878823529416,0.28724337013874224,0.024577876163682608,44.82295960428689,0,0.09000000000000008,0.051993067590987915
Atebubu Amantin,2011,2.0,700.08,26.257843137254905,81.74320261437909,17.208496732026145,0.6000653594771242,Forest Ochrosol,0,0,2.2,451.8580078175062,420.0937568627452,0.3173413924963526,0.02201441091488928,38.44798449334147,0,-0.20000000000000018,-0.09086778736937763
Atiwa,2011,2.2,791.22,24.88078431372549,88.69091503267974,16.411045751633985,0.734967320261438,Forest Ochrosol,0,0,2.0,408.31968970908616,581.5208431372549,0.2774058476787748,0.028398185748631233,45.44356561269422,0,0.20000000000000018,0.09995002498750634
Atwima Mponua,2011,1.2,865.5,24.99751633986928,87.96973856209151,15.748039215686273,0.7419607843137255,Forest Ochrosol,0,0,1.5,393.6618676150198,642.1670588235294,0.2809665032613718,0.028539679506840776,51.67769127202482,0,-0.30000000000000004,-0.1998667554963358
Atwima Nwabiagya,2011,1.2,865.5,24.99751633986928,87.96973856209151,15.960392156862746,0.7419607843137255,Forest Ochrosol,0,0,1.7,398.97016373189797,642.1670588235294,0.2809665032613718,0.028539679506840776,51.03065966843164,0,-0.5,-0.29394473838918284
Bawku,2011,2.3,739.47,27.563790849673204,73.7402614379085,20.39196078431374,0.5637254901960784,Savanna Ochrosol,0,0,2.1,562.0797420735619,416.85808823529413,0.3687944130697509,0.019735667900765627,34.56765873197736,0,0.19999999999999973,0.09519276534983329
Bawku West,2011,1.3,718.48,27.99339869281045,71.87241830065359,19.688954248366013,0.5954901960784313,Savanna Ochrosol,0,0,1.4,551.1607461190139,427.8477960784314,0.3841425788467264,0.020538819970288485,34.72770983853592,0,-0.09999999999999987,-0.07137758743754452
Bekwai,2011,1.0,865.5,24.99751633986928,87.96973856209151,15.960392156862746,0.7419607843137255,Forest Ochrosol,0,0,1.5,398.97016373189797,642.1670588235294,0.2809665032613718,0.028539679506840776,51.03065966843164,0,-0.5,-0.33311125916055967
Berekum,2011,1.97,695.18,25.512614379084965,83.58686274509803,16.12470588235294,0.5894117647058824,Forest Ochrosol,0,0,2.11,411.3834031526336,409.7472705882353,0.3016143825544998,0.022231370934540966,40.59514976641934,0,-0.1399999999999999,-0.06631927996210323
Bia,2011,1.6,758.6,25.07967320261438,88.91091503267974,15.420392156862746,0.7060130718954248,Forest Ochrosol,0,0,1.6,386.73839595027556,535.5815163398693,0.2789391387408161,0.02707139259032778,46.19865303782957,0,0.0,0.0
Bibiani Anhwiaso Bekwai,2011,1.42,828.63,24.988954248366014,88.27398692810458,15.748039215686273,0.7318954248366013,Forest Ochrosol,0,0,1.43,393.5270314622581,606.4705058823529,0.27991305315500786,0.028161788190558583,49.4762395363812,0,-0.010000000000000009,-0.0069881201956673725
Birim North,2011,2.0,860.62,24.983202614379085,87.81954248366013,16.411045751633985,0.7389542483660131,Forest Ochrosol,0,0,1.8,410.00048112691695,635.9588052287581,0.281280469542783,0.02843969080074357,49.429541009576226,0,0.19999999999999996,0.11104941699056078
Birim South,2011,2.5,857.78,24.97562091503268,89.04960784313725,15.470980392156862,0.769281045751634,Forest Ochrosol,0,0,2.5,386.3973414584134,659.8738954248366,0.2773540220023966,0.029615501714780328,52.07826004142759,0,0.0,0.0
Bole,2011,1.44,545.32,27.072091503267973,75.91673202614379,18.321633986928106,0.6171241830065359,Savanna Ochrosol,0,0,1.8,496.0049517835021,336.5301594771242,0.3519662210046345,0.021983548426902724,28.22328589646879,0,-0.3600000000000001,-0.1998889505830095
Bolga,2011,2.29,718.48,27.99339869281045,71.87241830065359,19.688954248366013,0.5954901960784313,Savanna Ochrosol,0,0,2.2,551.1607461190139,427.8477960784314,0.3841425788467264,0.020538819970288485,34.72770983853592,0,0.08999999999999986,0.040890504316219836
Bongo,2011,1.06,718.48,27.99339869281045,71.87241830065359,19.688954248366013,0.5954901960784313,Savanna Ochrosol,0,0,1.2,551.1607461190139,427.8477960784314,0.3841425788467264,0.020538819970288485,34.72770983853592,0,-0.1399999999999999,-0.11656952539550368
Builsa,2011,1.25,742.66,28.245228758169937,71.52411764705883,19.79300653594771,0.5273856209150327,Savanna Ochrosol,0,0,1.4,559.0579974197958,391.66820522875815,0.3894598055729038,0.018033219205635463,35.71681655156806,0,-0.1499999999999999,-0.10706638115631686
Bunkpurugu/Yunyoo,2011,1.2,822.67,27.043202614379084,77.85954248366014,20.054117647058824,0.5818300653594771,Savanna Ochrosol,0,0,1.91,542.3275667820069,478.65413986928104,0.34292872825102294,0.02074763262100261,39.07406683057666,0,-0.71,-0.37153322867608585
Cape Coast,2011,1.21,773.64,25.70483660130719,87.5137908496732,15.470980392156862,0.8298039215686274,Forest Ochrosol,0,0,1.2,397.67902304241954,641.9695058823529,0.29040487764175443,0.031073169776594283,46.96988166948407,0,0.010000000000000009,0.008326394671107419
Central Gonja,2011,1.41,649.62,27.292287581699348,78.84797385620915,17.784967320261437,0.5898039215686274,Savanna Ochrosol,0,0,2.0,485.39244273569994,383.14842352941173,0.341803132423216,0.020846809218429463,34.58190737970148,0,-0.5900000000000001,-0.2948525737131435
Dangme East,2011,0.9,672.01,26.11581699346405,85.78143790849673,16.961764705882352,0.7284313725490196,Coastal Savannah,0,0,0.8,442.9703429450211,489.5131666666666,0.3009378229132461,0.026863707360342468,37.413361716063534,0,0.09999999999999998,0.12484394506866414
Dormaa,2011,1.8,685.65,25.29150326797385,86.32496732026144,16.12470588235294,0.6334640522875817,Forest Ochrosol,0,0,2.1,407.8180515186466,434.3346274509804,0.28962511002401065,0.024093869636553477,40.0386438582028,0,-0.30000000000000004,-0.14278914802475015
East Gonja,2011,1.52,718.92,26.98313725490196,81.26196078431373,17.638823529411763,0.6188888888888888,Savanna Ochrosol,0,0,1.9,475.9507963091118,444.93159999999995,0.3280147591625033,0.022116494060381835,38.571103957583794,0,-0.3799999999999999,-0.19989479221462383
East Mamprusi,2011,1.2,773.45,27.632287581699345,74.85065359477125,19.688954248366013,0.5304575163398693,Savanna Ochrosol,0,0,1.69,544.0508459737707,410.2823660130719,0.3642986088072967,0.01852655030885193,37.38468318480071,0,-0.49,-0.28976936723832053
East Nzema,2011,1.33,816.24,25.651633986928104,87.07470588235294,16.453856209150327,0.7377124183006536,Forest Ochrosol,0,0,1.39,422.06829715066857,602.1503843137255,0.29124859095405486,0.027679819506094123,46.76559668069682,0,-0.05999999999999983,-0.04313443565780003
Ejura Sekyedumase,2011,1.18,700.08,26.257843137254905,81.74320261437909,17.208496732026145,0.6000653594771242,Forest Ochrosol,0,0,1.8,451.8580078175062,420.0937568627452,0.3173413924963526,0.02201441091488928,38.44798449334147,0,-0.6200000000000001,-0.34425319267073856
Ejusu Juaben,2011,1.0,788.16,25.38516339869281,85.27372549019607,15.960392156862746,0.6666013071895425,Forest Ochrosol,0,0,1.5,405.157162809176,525.3884862745098,0.2942397961193587,0.025264247831892055,46.47062359823348,0,-0.5,-0.33311125916055967
Fanteakwa,2011,1.9,786.95,25.781111111111112,85.02647058823528,16.411045751633985,0.7077777777777778,Forest Ochrosol,0,0,1.9,423.09499397240376,556.9857222222223,0.29968811849218024,0.026428245446624903,45.198318999658404,0,0.0,0.0
Ga East,2011,1.2,670.85,25.85274509803921,87.47137254901962,15.939738562091504,0.8279738562091503,Coastal Savannah,0,0,1.0,412.08599797513773,555.4462614379086,0.29221593780196975,0.030833862727487366,39.602146015479704,0,0.19999999999999996,0.19980019980019978
Ga West,2011,1.0,735.17,25.424640522875816,88.26679738562092,15.939738562091504,0.7728758169934641,Coastal Savannah,0,0,0.9,405.26212296979793,568.195114379085,0.2848163176846671,0.029248300135791265,43.399134957442364,0,0.09999999999999998,0.11098779134295225
Garu Tempane,2011,1.5,739.47,27.563790849673204,73.7402614379085,19.688954248366013,0.5637254901960784,Savanna Ochrosol,0,0,1.6,542.7022169507454,416.85808823529413,0.3687944130697509,0.019735667900765627,35.74226087615823,0,-0.10000000000000009,-0.0624609618988133
Gomoa,2011,2.1,735.17,25.424640522875816,88.26679738562092,15.939738562091504,0.7728758169934641,Forest Ochrosol,0,0,2.0,405.26212296979793,568.195114379085,0.2848163176846671,0.029248300135791265,43.399134957442364,0,0.10000000000000009,0.04997501249375317
Gushiegu,2011,1.32,833.5,27.03732026143791,79.7770588235294,18.79183006535948,0.6226797385620915,Savanna Ochrosol,0,0,1.78,508.08072777564195,519.0035620915032,0.3347153344677395,0.022208960512482195,42.11333652560143,0,-0.45999999999999996,-0.2582818641212802
Ho,2011,1.49,742.92,25.793594771241832,85.64496732026144,16.889477124183006,0.6758169934640523,Tropical Black Earth,0,0,1.42,435.6403288393353,502.07796078431375,0.29769293669304836,0.025223080338194183,41.52832387681808,0,0.07000000000000006,0.049261083743842415
Hohoe,2011,2.27,806.27,25.175947712418303,86.2775816993464,16.96954248366013,0.6954901960784313,Tropical Black Earth,0,0,2.23,427.2243142722885,560.7528803921568,0.2884583557682011,0.026569819122479348,44.86869939694618,0,0.040000000000000036,0.01792917974002691
Jaman North,2011,1.72,622.53,26.303660130718956,79.11588235294117,16.12470588235294,0.5667320261437909,Forest Ochrosol,0,0,2.0,424.1387832372165,352.80768823529417,0.3283201702109608,0.02075663202041432,36.35274113767518,0,-0.28,-0.13993003498250878
Jaman South,2011,1.82,695.18,25.512614379084965,83.58686274509803,16.12470588235294,0.5894117647058824,Forest Ochrosol,0,0,2.2,411.3834031526336,409.7472705882353,0.3016143825544998,0.022231370934540966,40.59514976641934,0,-0.3800000000000001,-0.1726487960018174
Jasikan,2011,2.26,834.51,24.662352941176472,86.91437908496732,16.96954248366013,0.7554901960784314,Tropical Black Earth,0,0,2.21,418.50884598231454,630.4641235294117,0.28052695358674884,0.029439630801204174,46.440247477576435,0,0.04999999999999982,0.022614201718679252
Jomoro,2011,1.3,854.79,24.99281045751634,89.2124183006536,15.340065359477126,0.7475816993464052,Forest Ochrosol,0,0,1.31,383.3913459353241,639.0253607843136,0.2770440137656222,0.028761095325504787,52.31252024975699,0,-0.010000000000000009,-0.007627765064836011
K. M. A.,2011,1.1,670.85,25.85274509803921,87.47137254901962,15.939738562091504,0.8279738562091503,Forest Ochrosol,0,0,1.5,412.08599797513773,555.4462614379086,0.29221593780196975,0.030833862727487366,39.602146015479704,0,-0.3999999999999999,-0.26648900732844766
Kadjebi,2011,2.26,834.51,24.662352941176472,86.91437908496732,16.96954248366013,0.7554901960784314,Tropical Black Earth,0,0,2.23,418.50884598231454,630.4641235294117,0.28052695358674884,0.029439630801204174,46.440247477576435,0,0.029999999999999805,0.013446884805020083
Karaga,2011,1.4,754.75,27.476209150326795,77.35359477124183,18.79183006535948,0.5909150326797385,Savanna Ochrosol,0,0,1.83,516.3282531932164,445.99312091503265,0.35066941383538675,0.02075118319156457,38.13442200683585,0,-0.43000000000000016,-0.23484434735117432
Keta,2011,1.9,663.6899999999999,26.28549019607843,86.18222222222222,16.961764705882352,0.8179084967320261,Tropical Black Earth,0,0,1.0,445.8482998846597,542.8376901960784,0.3015005757604836,0.029975950252474442,36.950155559194364,0,0.8999999999999999,0.8991008991008991
Ketu,2011,2.1,663.6899999999999,26.28549019607843,86.18222222222222,15.849215686274508,0.8179084967320261,Tropical Black Earth,0,0,1.4,416.60440353710106,542.8376901960784,0.3015005757604836,0.029975950252474442,39.389964040916546,0,0.7000000000000002,0.4996431120628125
Kintampo North,2011,1.95,635.71,26.73496732026144,78.23771241830066,17.784967320261437,0.5920261437908496,Forest Ochrosol,0,0,2.3,475.4805200991072,376.356939869281,0.3374020589984468,0.021345838881099102,33.84142166243346,0,-0.34999999999999987,-0.15210777922642327
Kintampo South,2011,1.82,635.71,26.73496732026144,78.23771241830066,17.04764705882353,0.5920261437908496,Forest Ochrosol,0,0,2.26,455.7682870049981,376.356939869281,0.3374020589984468,0.021345838881099102,35.223982269156814,0,-0.4399999999999997,-0.19460415745245457
Komenda Edina Eguafo Abirem,2011,1.59,773.64,25.70483660130719,87.5137908496732,15.470980392156862,0.8298039215686274,Forest Ochrosol,0,0,1.55,397.67902304241954,641.9695058823529,0.29040487764175443,0.031073169776594283,46.96988166948407,0,0.040000000000000036,0.0257898130238556
Krachi East,2011,1.22,837.74,26.51313725490196,83.81098039215686,17.27640522875817,0.6968627450980392,Tropical Black Earth,0,0,2.45,458.05170310137123,583.7897960784314,0.31261444134129873,0.025328363633772104,45.83724148782852,0,-1.2300000000000002,-0.5018359853121176
Krachi West,2011,1.15,837.74,26.51313725490196,83.81098039215686,17.208496732026145,0.6968627450980392,Tropical Black Earth,0,0,2.36,456.251235806741,583.7897960784314,0.31261444134129873,0.025328363633772104,46.00819124878854,0,-1.21,-0.5124947056332063
Kwabre,2011,1.1,788.16,25.38516339869281,85.27372549019607,15.960392156862746,0.6666013071895425,Forest Ochrosol,0,0,1.5,405.157162809176,525.3884862745098,0.2942397961193587,0.025264247831892055,46.47062359823348,0,-0.3999999999999999,-0.26648900732844766
Kwaebibirem,2011,2.5,791.22,24.88078431372549,88.69091503267974,16.411045751633985,0.734967320261438,Forest Ochrosol,0,0,2.5,408.31968970908616,581.5208431372549,0.2774058476787748,0.028398185748631233,45.44356561269422,0,0.0,0.0
Kwahu West,2011,2.2,816.57,25.13888888888889,86.7907843137255,16.411045751633985,0.7118300653594771,Forest Ochrosol,0,0,1.8,412.5554557007988,581.2590764705883,0.28634997494786696,0.027232606113646307,46.89953789383196,0,0.40000000000000013,0.22209883398112168
Lawra,2011,0.7,669.24,27.60346405228758,71.88816993464052,19.73934640522876,0.55,Savanna Ochrosol,0,0,1.0,544.8743389123841,368.08200000000005,0.378709797173394,0.01922844026844411,32.26909792254941,0,-0.30000000000000004,-0.29970029970029977
Manya Krobo,2011,2.1,708.03,25.467712418300653,87.49058823529411,16.889477124183006,0.7501960784313726,Forest Ochrosol,0,0,2.3,430.1363462941604,531.1613294117648,0.2878013687804028,0.02834382006934087,39.57801533745693,0,-0.19999999999999973,-0.0869187309865275
Mfantsiman,2011,2.16,792.21,25.15424836601307,89.30666666666667,15.470980392156862,0.7540522875816994,Forest Ochrosol,0,0,2.15,389.16088325003204,597.3677627450982,0.2785425405951543,0.02883096761295482,48.097319111449735,0,0.010000000000000231,0.004649000464900154
Nadowli,2011,1.4,706.52,27.682810457516343,71.81065359477125,19.73934640522876,0.5411111111111111,Savanna Ochrosol,0,0,1.5,546.4405850912043,382.3058222222222,0.38020274631217327,0.018865344869624264,34.06664733763614,0,-0.10000000000000009,-0.06662225183211198
Nanumba North,2011,1.5,783.33,26.553856209150325,82.95078431372549,17.638823529411763,0.6588235294117647,Savanna Ochrosol,0,0,1.68,468.37878369857737,516.0762352941176,0.3163026578753346,0.02391039295592233,42.026794167771264,0,-0.17999999999999994,-0.10707911957168349
Nanumba South,2011,1.5,783.33,26.553856209150325,82.95078431372549,17.27640522875817,0.6588235294117647,Savanna Ochrosol,0,0,1.91,458.7551802554572,516.0762352941176,0.3163026578753346,0.02391039295592233,42.86017902291966,0,-0.4099999999999999,-0.21454735740450023
New Juaben,2011,2.3,708.03,25.467712418300653,87.49058823529411,16.411045751633985,0.7501960784313726,Forest Ochrosol,0,0,2.3,417.95179368618903,531.1613294117648,0.2878013687804028,0.02834382006934087,40.66556426879489,0,0.0,0.0
Nkoranza,2011,1.8,684.63,25.7059477124183,82.30581699346406,17.04764705882353,0.5918300653594771,Forest Ochrosol,0,0,2.0,438.2259239138792,405.1846176470588,0.3085732622301167,0.022160983453295514,37.9345849222646,0,-0.19999999999999996,-0.09995002498750623
Nkwanta,2011,1.1,816.1,25.1740522875817,84.84117647058824,17.27640522875817,0.6579738562091504,Tropical Black Earth,0,0,2.35,434.917128570208,536.9724640522876,0.29326313224757683,0.02513840229933852,44.65320120588351,0,-1.25,-0.5316886431305827
North Dayi,2011,1.46,824.1899999999999,26.32522875816993,83.18562091503267,16.889477124183006,0.6640522875816993,Tropical Black Earth,0,0,1.39,444.61934889999566,547.3052549019607,0.3127045743920996,0.024301801586314453,46.07121797237212,0,0.07000000000000006,0.05032350826743355
North Tongu,2011,1.5,786.95,25.781111111111112,85.02647058823528,16.889477124183006,0.7077777777777778,Tropical Black Earth,0,0,1.2,435.42948634713144,556.9857222222223,0.29968811849218024,0.026428245446624903,43.989547292927895,0,0.30000000000000004,0.2497918401332224
Obuasi,2011,1.0,900.22,25.087124183006537,88.91888888888889,15.960392156862746,0.7572549019607843,Forest Ochrosol,0,0,1.5,400.40034004869926,681.6960078431372,0.2789972662363103,0.02902791801229164,53.077782145251916,0,-0.5,-0.33311125916055967
Offinso,2011,1.2,781.1,25.04372549019608,86.12895424836601,15.960392156862746,0.6701307189542484,Forest Ochrosol,0,0,1.8,399.7076798923492,523.4391045751634,0.2874328712681151,0.025730985346413396,46.05435963837314,0,-0.6000000000000001,-0.33314825097168244
Pru,2011,1.74,637.92,26.953006535947715,78.72875816993464,17.208496732026145,0.5751633986928104,Forest Ochrosol,0,0,1.9,463.82072489213556,366.9082352941176,0.338058777718572,0.020576083576310376,35.03419361786137,0,-0.15999999999999992,-0.08416622830089424
Savelugu/Nanton,2011,1.22,690.28,26.917843137254906,80.19104575163398,18.79183006535948,0.589673202614379,Savanna Ochrosol,0,0,2.0,505.8355339612971,407.03961830065356,0.33153709116640095,0.021121732066310343,34.877017320806424,0,-0.78,-0.3898050974512744
Sawla/Tuna/Kalba,2011,1.92,566.12,27.176405228758167,74.70359477124182,18.321633986928106,0.5858169934640522,Savanna Ochrosol,0,0,2.84,497.91614968174633,331.64271633986925,0.35898434296123943,0.02079104799593597,29.299799405319646,0,-0.9199999999999999,-0.32382963745160154
Sekyere East,2011,1.2,788.16,25.38516339869281,85.27372549019607,15.960392156862746,0.6666013071895425,Forest Ochrosol,0,0,1.7,405.157162809176,525.3884862745098,0.2942397961193587,0.025264247831892055,46.47062359823348,0,-0.5,-0.29394473838918284
Sene,2011,1.74,845.95,26.401045751633987,83.6069934640523,17.208496732026145,0.6997385620915033,Forest Ochrosol,0,0,1.91,454.3223095390662,591.9438366013072,0.3120433036407472,0.025536929080517898,46.45907965110018,0,-0.16999999999999993,-0.08895866038723178
Sissala East,2011,1.4,735.36,28.11647058823529,70.03967320261438,19.79300653594771,0.5028758169934641,Savanna Ochrosol,0,0,2.0,556.5094861207227,369.7947607843137,0.39578547198610364,0.017271180429287828,35.36573697164394,0,-0.6000000000000001,-0.2998500749625188
Sissala West,2011,1.3,699.63,27.969607843137258,69.90954248366013,19.73934640522876,0.5037908496732026,Savanna Ochrosol,0,0,1.7,552.1017780340895,352.4671921568628,0.3944406755914744,0.017390323417600145,33.73442857503025,0,-0.3999999999999999,-0.23515579071134624
South Dayi,2011,1.46,742.92,25.793594771241832,85.64496732026144,16.889477124183006,0.6758169934640523,Tropical Black Earth,0,0,1.4,435.6403288393353,502.07796078431375,0.29769293669304836,0.025223080338194183,41.52832387681808,0,0.06000000000000005,0.04282655246252681
South Tongu,2011,1.6,672.01,26.11581699346405,85.78143790849673,16.961764705882352,0.7284313725490196,Tropical Black Earth,0,0,0.95,442.9703429450211,489.5131666666666,0.3009378229132461,0.026863707360342468,37.413361716063534,0,0.6500000000000001,0.6834910620399581
Sunyani,2011,1.75,695.18,25.512614379084965,83.58686274509803,16.12470588235294,0.5894117647058824,Forest Ochrosol,0,0,1.78,411.3834031526336,409.7472705882353,0.3016143825544998,0.022231370934540966,40.59514976641934,0,-0.030000000000000027,-0.01684446939921394
Tain,2011,1.9,635.71,26.73496732026144,78.23771241830066,16.12470588235294,0.5920261437908496,Forest Ochrosol,0,0,1.94,431.0934848135333,376.356939869281,0.3374020589984468,0.021345838881099102,37.1223893926903,0,-0.040000000000000036,-0.020607934054611046
Tamale,2011,1.24,690.28,26.917843137254906,80.19104575163398,18.79183006535948,0.589673202614379,Savanna Ochrosol,0,0,1.7,505.8355339612971,407.03961830065356,0.33153709116640095,0.021121732066310343,34.877017320806424,0,-0.45999999999999996,-0.27042915931804823
Tano North,2011,1.82,767.58,25.15934640522876,86.58895424836602,16.12470588235294,0.6429411764705882,Forest Ochrosol,0,0,2.2,405.6870609765475,493.50878823529416,0.28724337013874224,0.024577876163682608,44.82295960428689,0,-0.3800000000000001,-0.1726487960018174
